company_name,sector,city,funding_round,funding_amount,lead_investor,funding_date,founded_year
VistaarCloud,Mobility,Noida,Seed,$26.45M,Sequoia Capital India,09/01/2020,2021
MeruFoods,Fintech, Bengaluru ,Bridge,"₹301,900,000",Nexus Venture Partners,Jun 2022,2016
AmritHealth,HealthTech,Mumbai,Seed,"₹387,500,000",3one4 Capital,Jul 2019,2017
VrikshaLearn,Gaming,Gurugram,Pre-Seed,$50.83M,Undisclosed investor(s),2019-01-26,2022
SahajCommerce,AgriTech,Hyderabad,Series A,,Tiger Global,25-11-2021,2012
primefintech,CleanTech,bengaluru,Series B,"₹389,800,000",Chiratae Ventures,08/11/2019,2018
PrimeRetail,EdTech, Bengaluru ,Angel,Rs. 3372 Lakh,Kalaari Capital,10-08-2018,2010
setufoods,Gaming,Hyderabad,Series D,$23.77M,3one4 Capital,May 2023,2017
KalpaLearn,, Bengaluru ,Series A,Rs. 2284 Lakh,3one4 Capital,Feb 2022,2017
NeoRetail,SaaS,Ahmedabad,Series B,$47.95M,Peak XV Partners,08-11-2021,2010
SARALMART,SaaS,Delhi NCR,Angel,"₹70,600,000",Chiratae Ventures,17-01-2022,2018
TrishulMobility,Logistics,,Series A,"₹343,900,000",Lightspeed India,2018-03-06,
NimbusCommerce,,Pune,Series C,"₹138,200,000",Accel,22-09-2023,2018
VrikshaCommerce,E-commerce,Bengaluru,Seed,Undisclosed,Undisclosed investor(s),Feb 2024,2018
SetuWorks,CleanTech,Bengaluru,Bridge,"₹90,200,000",Nexus Venture Partners,18/07/2024,2022
KrantiAgri,AgriTech,bengaluru,Series B,"₹30,900,000",Blume Ventures,11-07-2023,2011
NimbusLogistics,HealthTech,Gurugram,Seed,$36.69M,Chiratae Ventures,25 February 2019,2023
KalpaCloud,Mobility,bengaluru,Series C,$26.17M,Undisclosed investor(s),2018-11-29,2013
udaanlearn,,Mumbai,Angel,Rs. 4549 Lakh,Chiratae Ventures,30-07-2022,
nimbuslabs,,Delhi NCR,Seed,$53.84M,Nexus Venture Partners,Jun 2020,2019
NimbusMart,Logistics,Hyderabad,Bridge,"₹268,200,000",Matrix Partners,02/04/2022,
SaralFintech,Fintech,Chennai,Series B,Rs. 2094 Lakh,Peak XV Partners,26 February 2019,2020
DhruvTech,Logistics,Bengaluru,Seed,$49.1 million,Blume Ventures,31 July 2020,2022
VistaarCommerce,D2C,Hyderabad,Angel,"₹162,100,000",Kalaari Capital,Aug 2024,2016
VrikshaPay,Fintech,Hyderabad,Series D,"₹317,400,000",Matrix Partners,04-11-2020,2015
TarangCloud,CleanTech,Chennai,Bridge,Rs. 898 Lakh,,2023-08-26,2019
SetuMobility,FoodTech,Noida,Series B,$42.22M,Chiratae Ventures,24-07-2023,2015
ChakraCommerce,EdTech,Noida,Series C,"₹247,500,000",Undisclosed investor(s),25-09-2024,2022
LokaCloud,,Chennai,Pre-Seed,"₹189,300,000",Accel,28/02/2020,2011
KrantiRobotics,EdTech,Gurugram,Pre-Seed,$32.25M,Nexus Venture Partners,26 April 2021,2012
VahanFoods,CleanTech,Delhi NCR,Series A,"₹61,100,000",Kalaari Capital,Dec 2019,2011
KalpaWorks,SaaS,Mumbai,Pre-Seed,"₹65,200,000",Matrix Partners,17/12/2022,2021
VEGAAGRI,CleanTech,Gurugram,Series B,"₹283,500,000",Lightspeed India,May 2021,2021
SaralFoods,CleanTech,Bengaluru,Series B,Rs. 4599 Lakh,Matrix Partners,14 May 2023,2016
LokaCommerce,Mobility,Ahmedabad,Series C,Rs. 2369 Lakh,Accel,02 May 2022,2017
YatraMobility,CleanTech,Bengaluru,Angel,Undisclosed,Chiratae Ventures,Jul 2019,2013
VEGAFOODS,,Pune,Series A,Rs. 1565 Lakh,Sequoia Capital India,Jan 2021,2020
ChakraRetail,CleanTech,Pune,Bridge,$53.69M,Nexus Venture Partners,09/02/2023,2023
SetuLearn,Logistics,bengaluru,Seed,"₹352,200,000",Blume Ventures,16-11-2023,
SetuFoods,Gaming, Bengaluru ,Series B,"₹120,400,000",Blume Ventures,2020-03-19,2019
BharatHealth,Logistics,Noida,Series C,$20.14M,Undisclosed investor(s),17 December 2020,2017
BharatLabs,E-commerce,Noida,Series B,"₹426,700,000",Kalaari Capital,2019-04-22,2021
LokaMart,FoodTech,,Seed,"₹273,300,000",Peak XV Partners,25 April 2023,2017
LokaCommerce,Mobility,Ahmedabad,Series C,Rs. 2369 Lakh,Accel,02 May 2022,2017
MeruCommerce,AgriTech,Hyderabad,Series B,"₹151,100,000",Peak XV Partners,Jan 2024,2013
TarangHealth,E-commerce,Noida,Series C,Rs. 1965 Lakh,Chiratae Ventures,10/08/2021,2016
VahanAnalytics,AgriTech,Ahmedabad,Bridge,"₹67,300,000",Matrix Partners,08-07-2020,2015
VegaAgri,AgriTech,Chennai,Series A,"₹469,000,000",Matrix Partners,12/06/2024,2021
TarangMart,HealthTech,Mumbai,Angel,"₹272,600,000",Peak XV Partners,2022-08-14,2014
TarangCommerce,Fintech,Noida,Series A,"₹361,700,000",Matrix Partners,2022-09-12,2016
VrikshaCommerce,, Bengaluru ,Series A,$41.84M,,22-01-2022,2015
KalpaLabs,SaaS,bengaluru,Bridge,"₹344,600,000",,Mar 2019,2015
VistaarRobotics,FoodTech,Ahmedabad,Pre-Seed,,3one4 Capital,15/12/2019,2018
LOKAFINTECH,EdTech,Chennai,Seed,"₹147,900,000",Peak XV Partners,Jul 2019,2015
VistaarCloud,D2C,Mumbai,Series B,"₹264,300,000",Elevation Capital,May 2022,2012
SanchayLogistics,FoodTech,Pune,Pre-Seed,$19.04M,Elevation Capital,16 February 2021,2014
krantimobility,AgriTech,Noida,Series C,$37.6 million,Kalaari Capital,19/12/2022,2023
DhruvRetail,E-commerce,Hyderabad,Seed,"₹247,400,000",Elevation Capital,17/07/2019,2014
UrbanPay,EdTech,Chennai,Series A,Rs. 3748 Lakh,Sequoia Capital India,Aug 2019,2023
vistaartech,E-commerce,Hyderabad,Series C,"₹476,900,000",Matrix Partners,23 April 2023,2018
TarangLearn,SaaS,bengaluru,Series C,Rs. 4604 Lakh,Matrix Partners,2024-11-03,2020
urbanlearn,EdTech,Ahmedabad,Series C,Undisclosed,Chiratae Ventures,Aug 2021,2019
AnnaFintech,HealthTech, Bengaluru ,Series B,$41.7 million,Lightspeed India,Sep 2018,2016
KalpaFoods,HealthTech,Bengaluru,Series D,"₹281,800,000",3one4 Capital,12 December 2018,
vahantech,SaaS,bengaluru,Angel,$47.2M,Accel,Jul 2020,2011
NimbusMobility,FoodTech,Chennai,Seed,$12.04M,Kalaari Capital,Jul 2019,2020
NovaEnergy,HealthTech,,Seed,$1.17M,Tiger Global,27/07/2023,2018
KalpaTech,E-commerce,Bengaluru,Series A,Rs. 1313 Lakh,Nexus Venture Partners,21/08/2023,2021
UdaanLabs,E-commerce,Noida,Bridge,$31.7M,,2021-05-21,2020
vahanhealth,E-commerce,Ahmedabad,Pre-Seed,"₹286,400,000",Accel,27/09/2020,2014
SetuWorks,CleanTech,Noida,Angel,$54.1 million,Kalaari Capital,Oct 2019,2017
meruhealth,Logistics,Delhi NCR,Series C,"₹84,400,000",,12-02-2024,2019
VrikshaMobility,HealthTech,bengaluru,Seed,"₹252,400,000",Lightspeed India,20/05/2024,2017
OjasTech,Logistics, Bengaluru ,Pre-Seed,Rs. 3331 Lakh,Blume Ventures,01-02-2023,2021
VegaTech,AgriTech,Pune,Pre-Seed,"₹276,200,000",Accel,Jan 2019,2011
OjasLabs,Mobility, Bengaluru ,Series C,Rs. 2732 Lakh,Blume Ventures,2018-03-04,2013
NOVAANALYTICS,EdTech,Noida,Angel,Rs. 4545 Lakh,Peak XV Partners,Jun 2018,2022
ZetaFoods,EdTech,Noida,Series A,$53.0 million,Tiger Global,07/02/2022,2013
DHRUVCLOUD,Gaming,Gurugram,Series B,Rs. 876 Lakh,Undisclosed investor(s),07 May 2021,2019
VahanAnalytics,SaaS,Noida,Angel,,Accel,22/07/2022,2018
VistaarRobotics,E-commerce,Ahmedabad,Series D,$16.8 million,Undisclosed investor(s),14/12/2018,2018
KrantiLearn,Mobility,Chennai,Angel,"₹420,200,000",Accel,Nov 2021,2011
chakrarobotics,E-commerce,,Pre-Seed,"₹163,600,000",Tiger Global,11-04-2018,2013
SanchayLearn,Gaming,Mumbai,Series D,Rs. 4606 Lakh,Accel,08/12/2020,2021
yatralearn,SaaS,Gurugram,Series A,Rs. 1360 Lakh,Sequoia Capital India,12/06/2022,2021
KalpaPay,HealthTech,Gurugram,Pre-Seed,"₹120,000,000",Accel,Nov 2019,2014
VistaarFintech,D2C,,Bridge,"₹289,100,000",Chiratae Ventures,2021-10-18,2023
TrishulRobotics,,Delhi NCR,Series D,"₹150,800,000",Blume Ventures,2023-03-10,2023
VegaCommerce,E-commerce,Noida,Series B,$54.35M,Sequoia Capital India,2023-03-06,2017
ChakraHealth,Gaming,Chennai,Pre-Seed,$39.58M,Peak XV Partners,03-03-2024,
TarangAnalytics,CleanTech,Mumbai,Seed,Rs. 613 Lakh,Undisclosed investor(s),18-07-2018,2016
sahajanalytics,Logistics,Delhi NCR,Series A,Undisclosed,Accel,18 May 2020,2010
PrimeEnergy,Gaming,Chennai,Bridge,Rs. 4596 Lakh,,25/01/2021,2011
lokaretail,Gaming,Chennai,Bridge,"₹37,100,000",Peak XV Partners,17-04-2019,2023
PrimeCloud,EdTech,bengaluru,Series D,$1.67M,Undisclosed investor(s),12 October 2023,2013
DhruvLogistics,CleanTech,Delhi NCR,Series C,Undisclosed,Accel,26-04-2021,2018
lokamart,Logistics,Pune,Angel,"₹108,700,000",Peak XV Partners,19/01/2024,2018
TarangRobotics,E-commerce,Mumbai,Angel,$50.9 million,Matrix Partners,Dec 2018,2020
UdaanHealth,AgriTech,Pune,Series B,"₹69,500,000",Elevation Capital,16 March 2024,2019
TrishulCloud,HealthTech,Pune,Bridge,,Kalaari Capital,Oct 2023,2017
VISTAARENERGY,AgriTech, Bengaluru ,Series D,"₹248,500,000",Elevation Capital,2020-10-31,2021
sanchaycloud,E-commerce,Mumbai,Seed,"₹478,900,000",Lightspeed India,07/09/2022,2012
BharatPay,SaaS,Delhi NCR,Bridge,Undisclosed,Blume Ventures,20/11/2018,2013
OjasLabs,EdTech,Pune,Series A,$38.2M,Blume Ventures,29 October 2020,2023
GrahakCloud,Fintech,Ahmedabad,Seed,Undisclosed,Elevation Capital,09-10-2018,2022
LokaWorks,D2C,Noida,Angel,"₹242,400,000",Peak XV Partners,06-10-2020,2011
KrantiRobotics,AgriTech,Ahmedabad,Seed,$53.6M,Kalaari Capital,20-08-2022,2013
vegalabs,AgriTech,Gurugram,Seed,"₹107,600,000",Undisclosed investor(s),2020-12-08,2021
dhruvrobotics,SaaS, Bengaluru ,Pre-Seed,"₹494,100,000",3one4 Capital,2022-10-12,
PrimeEnergy,E-commerce,Pune,Series D,Rs. 2313 Lakh,Peak XV Partners,14 April 2022,2018
PrimeWorks,D2C,Ahmedabad,Angel,$15.3M,Nexus Venture Partners,Feb 2019,2019
bharatagri,HealthTech,Chennai,Series D,"₹350,900,000",Elevation Capital,25/06/2019,2012
VahanMobility,AgriTech,Hyderabad,Series A,"₹256,500,000",Undisclosed investor(s),10/11/2020,2012
VrikshaMobility,HealthTech,bengaluru,Seed,"₹252,400,000",Lightspeed India,20/05/2024,2017
BharatLearn,Logistics,Bengaluru,Series A,$34.17M,3one4 Capital,Jul 2021,2019
NovaMobility,CleanTech, Bengaluru ,Series A,,Matrix Partners,2021-07-20,2016
VrikshaAgri,,Hyderabad,Pre-Seed,$21.6 million,Lightspeed India,27-10-2018,2016
kalparetail,FoodTech,Chennai,Seed,Rs. 4209 Lakh,Nexus Venture Partners,15 February 2023,2010
ZetaMobility,FoodTech,Gurugram,Series B,$55.9 million,3one4 Capital,22 July 2023,2018
NimbusRetail,Fintech,Mumbai,Angel,"₹320,300,000",Blume Ventures,07/02/2023,2016
VahanWorks,EdTech,bengaluru,Series B,Rs. 3029 Lakh,Lightspeed India,2024-03-13,2016
SetuAnalytics,CleanTech,Bengaluru,Series C,"₹107,800,000",Blume Ventures,Nov 2022,2011
ojasfintech,AgriTech,Chennai,Angel,$56.8 million,Accel,29/05/2019,2020
VrikshaAgri,AgriTech,Hyderabad,Seed,$56.9 million,Nexus Venture Partners,08-05-2023,2015
VistaarCommerce,FoodTech,Hyderabad,Angel,$8.19M,Undisclosed investor(s),07 January 2024,2019
TarangWorks,E-commerce,Delhi NCR,Series D,"₹483,400,000",Peak XV Partners,19 November 2023,2014
SahajWorks,EdTech,Delhi NCR,Bridge,"₹36,700,000",Lightspeed India,25/06/2022,2022
YatraCloud,Gaming,Delhi NCR,Pre-Seed,Rs. 3064 Lakh,Kalaari Capital,Oct 2023,2011
KrantiAgri,HealthTech,Ahmedabad,Series B,$12.8 million,Nexus Venture Partners,22-08-2023,2023
KrantiMobility,Fintech,Mumbai,Angel,$17.4 million,Sequoia Capital India,Jun 2022,2012
KalpaTech,SaaS,Delhi NCR,Series B,$43.7 million,Elevation Capital,22-12-2018,2012
merumart,Logistics,Pune,Angel,$32.48M,Undisclosed investor(s),Dec 2023,2015
TrishulLearn,,Delhi NCR,Bridge,$5.6 million,Elevation Capital,12/05/2018,2016
DhruvCommerce,AgriTech,Ahmedabad,Series C,Rs. 2240 Lakh,Nexus Venture Partners,13-06-2023,2016
DhruvRetail,D2C,Chennai,Pre-Seed,Rs. 885 Lakh,Nexus Venture Partners,03/07/2019,2021
SWIFTHEALTH,Fintech,Pune,Series C,$1.61M,Tiger Global,22-12-2020,2012
MERURETAIL,EdTech,Delhi NCR,Pre-Seed,Undisclosed,Nexus Venture Partners,08-02-2019,2017
SWIFTLOGISTICS,SaaS, Bengaluru ,Series C,Undisclosed,Peak XV Partners,2023-01-13,2018
LokaMobility,D2C, Bengaluru ,Series B,$3.94M,Blume Ventures,11-12-2022,2019
urbanrobotics,D2C,Mumbai,Bridge,,Tiger Global,03-09-2024,2014
VistaarLogistics,Mobility, Bengaluru ,Series D,"₹55,500,000",Elevation Capital,09/02/2022,2016
ChakraRobotics,Fintech,bengaluru,Seed,,Blume Ventures,13 May 2020,2016
AmritLogistics,HealthTech,Mumbai,Bridge,,Matrix Partners,Feb 2018,2012
NeoRobotics,E-commerce,Chennai,Bridge,"₹400,700,000",3one4 Capital,Jul 2023,2012
MeruAnalytics,Fintech, Bengaluru ,Series C,,,Feb 2019,2014
YatraAgri,Gaming,Gurugram,Series A,$30.96M,Accel,04/09/2020,2011
NIMBUSENERGY,Logistics,Delhi NCR,Series D,$19.35M,Kalaari Capital,2019-03-15,2014
OJASTECH,E-commerce,Mumbai,Angel,"₹236,500,000",Elevation Capital,18-05-2021,2010
VegaAnalytics,Gaming,bengaluru,Series B,Undisclosed,Lightspeed India,16/04/2018,2019
BharatPay,E-commerce,bengaluru,Bridge,$36.3 million,Accel,15 February 2021,2013
SaralMobility,EdTech,Bengaluru,Series C,Rs. 1092 Lakh,Lightspeed India,15 July 2020,2020
YatraMobility,Mobility,Bengaluru,Pre-Seed,$14.3 million,Tiger Global,22/01/2024,2022
SahajTech,D2C,Noida,Series C,,Kalaari Capital,30 November 2019,2020
sanchaylabs,,Ahmedabad,Series B,"₹416,500,000",Accel,01-02-2020,
NeoRobotics,E-commerce,Chennai,Bridge,"₹400,700,000",3one4 Capital,Jul 2023,2012
SwiftLabs,CleanTech,Ahmedabad,Series B,Rs. 2322 Lakh,Nexus Venture Partners,02/08/2022,2020
nimbuscommerce,Mobility,Chennai,Angel,Rs. 3431 Lakh,Chiratae Ventures,31/05/2018,2021
chakraretail,EdTech,bengaluru,Angel,"₹305,700,000",,17 June 2019,2010
AMRITENERGY,Mobility,Noida,Series A,Undisclosed,,05 February 2023,2018
ZetaMobility,Fintech,Ahmedabad,Angel,"₹93,400,000",Kalaari Capital,2019-04-27,2017
yatraretail,Fintech,Noida,Pre-Seed,Rs. 3613 Lakh,Matrix Partners,26-01-2020,2014
UdaanWorks,D2C,,Series A,"₹79,700,000",Nexus Venture Partners,09/03/2022,2018
UdaanAnalytics,E-commerce,Chennai,Series A,"₹203,500,000",Tiger Global,01-02-2019,2014
MeruFintech,E-commerce,Bengaluru,Series C,"₹356,400,000",Accel,01 February 2023,2019
UrbanMobility,Gaming,Noida,Angel,$39.5 million,Matrix Partners,2020-06-17,2018
SahajTech,D2C,Noida,Series C,,Kalaari Capital,30 November 2019,2020
grahakanalytics,,,Angel,"₹64,200,000",Matrix Partners,Jun 2024,2019
SetuAgri,Mobility,Hyderabad,Series D,Undisclosed,Matrix Partners,31/07/2022,2015
vegatech,D2C,Noida,Seed,Undisclosed,Lightspeed India,2018-06-14,2017
SanchayCommerce,HealthTech,Noida,Seed,$58.5 million,Lightspeed India,22-04-2018,
KalpaFoods,HealthTech,Bengaluru,Series D,"₹281,800,000",3one4 Capital,12 December 2018,
SetuLearn,CleanTech,Gurugram,Bridge,$46.3 million,Accel,2019-07-31,2023
LokaTech,EdTech,bengaluru,Series B,"₹281,500,000",Kalaari Capital,27 April 2020,2017
UdaanEnergy,HealthTech,Mumbai,Angel,"₹25,600,000",Accel,2023-12-13,2016
SahajPay,EdTech,Hyderabad,Bridge,$9.98M,Undisclosed investor(s),18-07-2019,2018
NovaRobotics,Mobility,Delhi NCR,Series A,$54.8 million,Elevation Capital,2024-07-29,2023
nimbushealth,Logistics,Delhi NCR,Series C,Rs. 3209 Lakh,Kalaari Capital,07 August 2024,2012
UdaanWorks,Fintech,,Bridge,$13.0 million,Lightspeed India,2022-03-24,2012
SwiftAnalytics,AgriTech,Noida,Series B,$41.81M,Tiger Global,17 June 2023,2021
NimbusAgri,Gaming,Pune,Series A,$15.4 million,Tiger Global,05-12-2024,2020
KalpaLabs,SaaS,Pune,Series D,$56.7 million,Tiger Global,09/12/2023,2016
VegaMobility,FoodTech,Chennai,Series C,"₹63,900,000",3one4 Capital,2021-03-16,
nimbuscommerce,Mobility,Chennai,Angel,Rs. 3431 Lakh,Chiratae Ventures,31/05/2018,2021
KrantiAnalytics,SaaS,Hyderabad,Seed,"₹318,100,000",Peak XV Partners,13 December 2018,2013
SanchayTech,EdTech,Chennai,Bridge,$52.8 million,Nexus Venture Partners,Jun 2020,2023
PrimeCommerce,AgriTech,Mumbai,Series A,Rs. 2838 Lakh,Sequoia Capital India,Feb 2019,2013
swiftworks,Fintech,Hyderabad,Series D,$46.43M,Blume Ventures,2018-05-14,2014
BharatHealth,SaaS,Ahmedabad,Seed,$43.6 million,Chiratae Ventures,Jun 2020,2011
SWIFTHEALTH,CleanTech,Delhi NCR,Series C,$45.5 million,Matrix Partners,2021-06-04,2013
sanchayhealth,Gaming,Hyderabad,Series B,"₹436,700,000",3one4 Capital,31 July 2020,2018
TrishulCommerce,D2C,Bengaluru,Series B,"₹355,900,000",Undisclosed investor(s),18 September 2021,2023
chakraretail,FoodTech,Ahmedabad,Angel,"₹434,100,000",3one4 Capital,30 January 2021,2014
SAHAJLABS,E-commerce,Gurugram,Series D,"₹108,800,000",3one4 Capital,27 May 2024,2017
VahanAnalytics,D2C,Gurugram,Series A,$16.94M,Chiratae Ventures,2020-09-29,2017
AmritFintech,FoodTech,bengaluru,Seed,$53.41M,Sequoia Capital India,2019-01-18,2012
SanchayHealth,Gaming,Delhi NCR,Series B,$32.72M,Chiratae Ventures,Oct 2022,2013
PrimeHealth,E-commerce,Chennai,Seed,Rs. 4693 Lakh,Matrix Partners,30 March 2023,2012
VistaarRobotics,FoodTech,Ahmedabad,Pre-Seed,,3one4 Capital,15/12/2019,2018
SaralWorks,E-commerce,Gurugram,Series C,Undisclosed,3one4 Capital,30-01-2024,2021
UrbanPay,SaaS,Mumbai,Angel,Undisclosed,Lightspeed India,09 October 2021,2023
DhruvRetail,D2C,Chennai,Pre-Seed,Rs. 885 Lakh,Nexus Venture Partners,03/07/2019,2021
taranghealth,SaaS,Gurugram,Series B,Rs. 1095 Lakh,Undisclosed investor(s),09-08-2019,2018
nimbuslearn,SaaS,Delhi NCR,Series D,Rs. 1939 Lakh,Matrix Partners,11/02/2019,2018
amritagri,EdTech,Pune,Series B,,Lightspeed India,25 July 2024,2021
ZETAMOBILITY,HealthTech,Delhi NCR,Series B,Rs. 942 Lakh,Lightspeed India,Jun 2020,2021
ZetaFoods,EdTech,Gurugram,Bridge,$39.51M,Undisclosed investor(s),06/01/2024,2010
ZetaRetail,E-commerce,Pune,Pre-Seed,"₹488,800,000",3one4 Capital,05 February 2021,2010
VahanWorks,SaaS,Ahmedabad,Series D,Rs. 3851 Lakh,Peak XV Partners,2021-08-04,2015
primemobility,Fintech,Noida,Series C,$0.76M,Accel,2018-08-30,2011
LokaAnalytics,Gaming,Chennai,Series A,Undisclosed,,11/03/2024,2023
TarangMart,HealthTech,Mumbai,Angel,"₹272,600,000",Peak XV Partners,2022-08-14,2014
SetuHealth,Logistics,,Angel,"₹441,500,000",Undisclosed investor(s),18/03/2020,2016
urbanmobility,HealthTech,Bengaluru,Series C,Rs. 3062 Lakh,Sequoia Capital India,05 December 2024,2017
ZetaPay,HealthTech,,Series A,Rs. 1979 Lakh,Elevation Capital,13 December 2024,2014
SwiftAgri,Mobility,,Seed,$54.8M,Blume Ventures,2019-03-01,2014
UrbanFintech,CleanTech,Chennai,Series D,$55.77M,Undisclosed investor(s),16/08/2021,
SanchayLearn,E-commerce,Gurugram,Angel,"₹246,200,000",Kalaari Capital,19-07-2021,2010
NeoCommerce,CleanTech,Hyderabad,Series D,Rs. 3641 Lakh,Kalaari Capital,17-11-2019,
VistaarFoods,Logistics,Ahmedabad,Angel,Undisclosed,Kalaari Capital,03-11-2020,2022
KrantiHealth,D2C,Bengaluru,Series C,$39.76M,Kalaari Capital,17 August 2020,2013
SanchayLogistics,FoodTech,Gurugram,Series A,$7.84M,Nexus Venture Partners,2024-10-03,2018
TrishulCloud,SaaS,Mumbai,Series D,$35.8 million,Accel,24-11-2022,2013
YatraCloud,CleanTech,bengaluru,Seed,$1.41M,Blume Ventures,02-06-2020,2010
NeoRobotics,E-commerce,Chennai,Bridge,"₹400,700,000",3one4 Capital,Jul 2023,2012
VegaFintech,Gaming,Pune,Series C,$39.11M,Undisclosed investor(s),2023-02-23,2014
SanchayRobotics,HealthTech,Delhi NCR,Angel,,Accel,Aug 2022,2015
ChakraLabs,Fintech,Delhi NCR,Series B,$39.4 million,,2021-05-10,2019
swiftworks,Fintech,Hyderabad,Series D,$46.43M,Blume Ventures,2018-05-14,2014
AmritEnergy,,Chennai,Series C,Rs. 1189 Lakh,Nexus Venture Partners,20 February 2020,2018
AnnaFoods,FoodTech,Gurugram,Series B,"₹481,200,000",Elevation Capital,20-09-2020,2020
NeoMart,FoodTech,Bengaluru,Bridge,Rs. 921 Lakh,,2021-06-13,2010
bharatenergy,HealthTech,Gurugram,Series D,$14.6 million,Nexus Venture Partners,2019-01-11,2023
NovaPay,Fintech,Bengaluru,Series D,$42.1 million,Undisclosed investor(s),Mar 2019,2021
ChakraCommerce,,,Angel,"₹440,000,000",Accel,06/02/2023,2020
yatraretail,EdTech,Hyderabad,Series D,"₹44,400,000",Tiger Global,04 September 2019,2014
BharatEnergy,HealthTech,Chennai,Series B,Rs. 4967 Lakh,Matrix Partners,31 August 2022,2017
TarangEnergy,D2C,Gurugram,Series C,Rs. 4179 Lakh,Elevation Capital,24/05/2022,
NeoCloud,Gaming,Mumbai,Pre-Seed,Rs. 8 Lakh,Blume Ventures,2021-03-21,2016
SWIFTENERGY,Fintech,Gurugram,Bridge,Rs. 1197 Lakh,Elevation Capital,Dec 2023,2019
SaralFoods,AgriTech,Pune,Pre-Seed,$48.52M,Lightspeed India,19/09/2020,2016
VegaMart,HealthTech,,Bridge,Rs. 754 Lakh,Sequoia Capital India,Jun 2021,2015
AmritHealth,HealthTech,Mumbai,Seed,"₹387,500,000",3one4 Capital,Jul 2019,2017
OjasAgri,Fintech, Bengaluru ,Series A,$53.05M,Peak XV Partners,28/12/2020,2011
MeruWorks,Mobility,Ahmedabad,Series A,Rs. 1386 Lakh,Lightspeed India,2024-07-06,2012
AnnaMart,E-commerce,bengaluru,Bridge,"₹376,400,000",Undisclosed investor(s),2020-11-19,2010
BharatLogistics,E-commerce,Bengaluru,Pre-Seed,Rs. 3664 Lakh,Peak XV Partners,29/12/2020,2014
GrahakFintech,Mobility,Hyderabad,Bridge,"₹224,400,000",Peak XV Partners,Jan 2023,
TarangMart,AgriTech,Pune,Pre-Seed,$28.0 million,,07 May 2021,2019
AmritLogistics,CleanTech,Chennai,Series C,$28.4 million,Matrix Partners,15-03-2021,2022
GrahakAnalytics,SaaS,Hyderabad,Series D,$22.35M,Blume Ventures,27-11-2018,2011
AnnaFintech,Mobility,Delhi NCR,Angel,Rs. 2003 Lakh,Tiger Global,23-01-2018,2022
KrantiMobility,,,Seed,$41.43M,Undisclosed investor(s),18 July 2024,2018
UrbanLabs,Fintech,Pune,Series C,$10.2M,Matrix Partners,Apr 2024,
ZetaCommerce,SaaS,Chennai,Bridge,Rs. 4874 Lakh,Tiger Global,15/05/2021,2019
SaralEnergy,D2C,Delhi NCR,Pre-Seed,$58.3 million,Undisclosed investor(s),Mar 2020,2011
TarangMobility,CleanTech,Gurugram,Bridge,,Kalaari Capital,2019-04-26,2013
NovaLogistics,E-commerce,Pune,Series B,"₹262,000,000",,Nov 2021,2012
YatraAgri,Gaming,Gurugram,Series A,$30.96M,Accel,04/09/2020,2011
KalpaWorks,AgriTech,Pune,Angel,$5.1 million,Blume Ventures,25/09/2024,2015
UdaanWorks,E-commerce, Bengaluru ,Series A,Rs. 4331 Lakh,3one4 Capital,21-01-2022,2019
BharatFoods,Logistics,,Series B,"₹45,100,000",Chiratae Ventures,2021-04-11,2020
BharatPay,Gaming,Noida,Series D,"₹61,400,000",Undisclosed investor(s),22 February 2021,2019
SahajEnergy,AgriTech,Ahmedabad,Series D,Undisclosed,Lightspeed India,16-12-2021,2010
VistaarAnalytics,AgriTech,Mumbai,Series B,,Peak XV Partners,01 September 2018,2015
VahanHealth,FoodTech, Bengaluru ,Bridge,$38.8M,Lightspeed India,13/04/2019,2015
CHAKRALOGISTICS,AgriTech,Noida,Series C,Rs. 4782 Lakh,Tiger Global,Aug 2020,2020
MeruAgri,Gaming,Ahmedabad,Pre-Seed,$53.17M,Peak XV Partners,Jun 2023,2016
NeoMobility,AgriTech,Bengaluru,Bridge,$37.69M,Nexus Venture Partners,Sep 2019,2010
GrahakLearn,EdTech,Gurugram,Series D,"₹381,100,000",Lightspeed India,Nov 2024,2015
BharatAgri,Logistics,Ahmedabad,Series D,Rs. 4904 Lakh,Sequoia Capital India,05/11/2022,2019
SanchayCommerce,CleanTech,Ahmedabad,Angel,"₹94,200,000",Undisclosed investor(s),2024-03-08,2016
VistaarRobotics,E-commerce,Ahmedabad,Series D,$16.8 million,Undisclosed investor(s),14/12/2018,2018
VahanFintech,Logistics,Noida,Seed,Rs. 612 Lakh,,Mar 2023,2010
UdaanAgri,HealthTech,Mumbai,Series A,$45.23M,Sequoia Capital India,2021-04-16,2010
